City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Kapaa,US,2021-03-22 21:39:33,22.0752,-159.319,75.2,53,1,10.36
60,Cidreira,BR,2021-03-22 21:41:00,-30.1811,-50.2056,74.23,69,100,8.59
61,Atuona,PF,2021-03-22 21:39:23,-9.8,-139.0333,81.07,68,5,17.6
62,Ushuaia,AR,2021-03-22 21:34:47,-54.8,-68.3,55.4,62,75,18.41
63,Lastoursville,GA,2021-03-22 21:43:06,-0.8143,12.7287,71.71,98,97,1.16
64,Filadelfia,US,2021-03-22 21:41:49,39.9523,-75.1638,64.99,32,1,5.75
65,Pacific Grove,US,2021-03-22 21:38:31,36.6177,-121.9166,57.2,62,90,11.5
66,Acapulco,MX,2021-03-22 21:39:15,16.8634,-99.8901,84.2,70,20,10.36
67,Semnan,IR,2021-03-22 21:43:07,35.5729,53.3971,55.62,36,44,3.53
68,Roald,NO,2021-03-22 21:39:40,62.5833,6.1333,45.0,93,75,23.02
69,Ovalle,CL,2021-03-22 21:41:12,-30.5983,-71.2003,80.65,25,0,6.91
70,Thompson,CA,2021-03-22 21:39:32,55.7435,-97.8558,26.6,54,75,11.5
71,Deputatskiy,RU,2021-03-22 21:39:48,69.3,139.9,-20.69,99,94,2.42
72,Bacsalmas,HU,2021-03-22 21:43:07,46.1265,19.3326,34.21,55,12,11.99
73,Binghamton,US,2021-03-22 21:40:18,42.0987,-75.918,60.8,17,1,8.05
74,Tasiilaq,GL,2021-03-22 21:39:56,65.6145,-37.6368,21.2,63,75,9.22
75,Omsukchan,RU,2021-03-22 21:43:08,62.5333,155.8,3.99,95,100,6.13
76,Iskandar,UZ,2021-03-22 21:43:08,41.5539,69.7008,50.0,76,99,6.91
77,College,US,2021-03-22 21:41:35,64.8569,-147.8028,19.4,45,40,4.61
78,Gunjur,GM,2021-03-22 21:43:08,13.2019,-16.7339,73.4,64,0,10.36
79,Carnarvon,AU,2021-03-22 21:40:21,-24.8667,113.6333,73.4,78,40,20.71
80,Sao Filipe,CV,2021-03-22 21:40:58,14.8961,-24.4956,70.92,73,3,8.99
81,Longyearbyen,SJ,2021-03-22 21:36:35,78.2186,15.6401,12.2,73,20,18.41
82,Santa Cruz,BO,2021-03-22 21:43:09,-17.8,-63.1667,82.4,65,75,5.75
83,Faanui,PF,2021-03-22 21:39:24,-16.4833,-151.75,83.95,73,7,17.52
84,Amalapuram,IN,2021-03-22 21:43:09,16.5833,82.0167,72.46,82,0,0.74
85,Ulaanbaatar,MN,2021-03-22 21:43:09,47.9077,106.8832,23.0,63,40,4.23
86,Canutama,BR,2021-03-22 21:43:10,-6.5339,-64.3831,76.37,94,76,2.57
