City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description 
79,Bengkulu,ID,-3.8004,102.2655,76.89,92,100,5.97,moderate rain
80,Byron Bay,AU,-28.65,153.6167,64.4,94,0,7.34,clear sky
81,Labuhan,ID,-6.8844,112.2051,80.51,82,89,3.02,overcast clouds
82,Hithadhoo,MV,-0.6,73.0833,84.15,71,95,10.85,overcast clouds
83,Lebu,CL,-37.6167,-73.65,60.35,65,85,17.98,overcast clouds
84,Khatanga,RU,71.9667,102.5,4.03,94,100,6.98,overcast clouds
85,Bethel,US,41.3712,-73.414,61.0,41,1,6.91,clear sky
86,Hit,IQ,33.6416,42.8251,60.3,16,0,14.14,clear sky
87,Makakilo City,US,21.3469,-158.0858,73.4,83,1,4.61,clear sky
88,Coahuayana,MX,18.7333,-103.6833,75.2,53,1,3.49,clear sky
89,Cherskiy,RU,68.75,161.3,-21.41,99,32,5.64,scattered clouds
90,Gualaquiza,EC,-3.4,-78.55,68.11,89,97,2.06,light rain
91,Butaritari,KI,3.0707,172.7902,80.91,79,95,14.76,light rain
92,Honningsvag,NO,70.9821,25.9704,38.77,80,99,13.53,overcast clouds
93,Hovd,MN,48.0056,91.6419,30.4,28,100,2.17,overcast clouds
94,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,20,11.5,few clouds
95,Koidu,SL,8.4167,-10.8333,96.93,30,54,6.78,broken clouds
96,Upernavik,GL,72.7868,-56.1549,-23.21,70,1,3.11,clear sky
97,Jalalabad,AF,34.4265,70.4515,74.37,40,78,2.73,broken clouds
98,Bathsheba,BB,13.2167,-59.5167,82.4,57,20,23.02,few clouds
99,Coihaique,CL,-45.5752,-72.0662,62.6,51,75,5.75,broken clouds
100,Tasiilaq,GL,65.6145,-37.6368,23.0,39,90,21.85,light snow
101,Castro,BR,-24.7911,-50.0119,81.16,51,91,7.16,overcast clouds
102,Dingle,PH,10.9995,122.6711,76.66,85,21,6.53,few clouds
103,Parabel,RU,58.6978,81.4825,32.0,98,100,5.97,overcast clouds
104,Kutum,SD,14.2,24.6667,78.98,12,99,14.18,overcast clouds
105,Ilovka,RU,50.7053,38.637,37.18,84,97,9.71,moderate rain
106,Souillac,MU,-20.5167,57.5167,77.0,88,40,6.91,scattered clouds
107,Lorengau,PG,-2.0226,147.2712,80.38,81,98,8.39,overcast clouds
108,Lincoln,US,40.8,-96.667,54.0,66,40,21.85,scattered clouds
109,Provideniya,RU,64.3833,-173.3,-2.9,100,100,3.96,overcast clouds
110,Khani,GE,41.9563,42.9566,42.8,81,75,14.97,broken clouds
111,Mahibadhoo,MV,3.7833,72.9667,79.0,84,100,3.58,overcast clouds
112,Prince Rupert,CA,54.3161,-130.3201,44.6,87,90,18.41,moderate rain
113,Lata,PT,40.1629,-8.3327,73.99,43,100,2.15,overcast clouds
114,Ust-Tsilma,RU,65.441,52.1498,18.68,93,33,4.83,scattered clouds
115,Jos,NG,9.9167,8.9,86.34,12,6,10.56,clear sky
116,Mahebourg,MU,-20.4081,57.7,77.0,88,40,6.91,light rain
117,Surovikino,RU,48.6078,42.8486,37.89,98,100,6.29,overcast clouds
118,Mayumba,GA,-3.432,10.6554,82.74,75,100,8.01,overcast clouds
119,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,0,17.27,clear sky
120,Wajima,JP,37.4,136.9,50.97,72,100,6.4,overcast clouds
121,Wageningen,NL,51.9667,5.6667,48.99,53,75,12.66,broken clouds
122,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,75,75,3.44,broken clouds
123,Andenes,NO,69.3143,16.1194,41.0,81,90,6.91,overcast clouds
124,Kruisfontein,ZA,-34.0033,24.7314,66.0,74,21,5.99,few clouds
125,Mahuva,IN,21.0914,71.7622,86.4,31,0,9.73,clear sky
126,Qaanaaq,GL,77.484,-69.3632,-6.27,71,100,5.84,overcast clouds
127,Aksu,CN,41.1231,80.2644,57.76,40,7,16.26,clear sky
128,Saint George,US,37.1041,-113.5841,52.0,43,1,3.44,clear sky
129,Kelme,LT,55.6339,22.9342,53.6,43,0,14.97,clear sky
130,Eyemouth,GB,55.8713,-2.0901,45.0,69,80,3.0,broken clouds
131,Charlestown,AU,-32.95,151.6667,66.99,65,31,5.88,scattered clouds
132,Quatre Cocos,MU,-20.2078,57.7625,80.01,88,40,6.91,scattered clouds
133,Tigil,RU,57.8,158.6667,-2.15,96,100,5.44,overcast clouds
134,Paamiut,GL,61.994,-49.6678,1.69,72,0,33.46,clear sky
135,Zaton,RU,53.2936,83.8072,32.0,93,75,11.18,light snow
136,Sulangan,PH,11.1373,123.7228,82.11,76,44,11.25,scattered clouds
137,Victoria,HK,22.2855,114.1577,75.0,88,4,2.24,clear sky
138,Road Town,VG,18.4167,-64.6167,86.0,58,40,14.97,scattered clouds
139,San Ignacio,BZ,17.1561,-89.0714,86.0,62,40,11.5,scattered clouds
140,Nanortalik,GL,60.1432,-45.2371,7.88,73,9,18.57,clear sky
